Point_name,corner_x,corner_y
a0,269906.8326,1509819.266
a1,269899.465,1509823.906
a2,269886.5098,1509827.94
a3,269877.229,1509833.056
a4,269870.2865,1509839.788
b0,269910.4415,1509825.877
b1,269903.423422,1509829.87327
b2,269893.2232,1509834.156
b3,269884.572567,1509840.44841
b4,269874.6276,1509847.526
c0,269916.8231,1509836.189
c1,269907.9477055,1509839.3935675
c2,269899.0244,1509844.005
c3,269887.57,1509850.361
c4,269880.2625,1509856.103
d0,269922.5001,1509844.307
d1,269912.5199,1509847.507
d2,269904.1031,1509852.292
d3,269895.0071,1509855.982
d4,269886.7181,1509864.69
e0,269925.6417,1509851.491
e1,269916.4233,1509857.826
e2,269910.8551,1509861.372
e3,269902.185931,1509867.06246
e4,269894.0533,1509872.436
z*a0,NA,NA
z*a4,269856.7589,1509834.157
z*e0,269939.2225,1509854.004
z*e4,269890.359706,1509886.27148
z0a,269915.3337,1509814.51
z0b,269922.526,1509823.268
z0c,269924.5796,1509831.927
z0d,269930.7137,1509839.829
z0e,269935.491795,1509847.73066
z4a,269860.8044,1509843.573
z4b,269866.6347,1509854.667
z4c,269872.870863,1509862.48665
z4d,269879.050254,1509870.76471
za0,269900.4829,1509811.007
za1,269891.6777,1509815.042
za2,269883.6453,1509820.571
za3,269872.5174,1509825.937
za4,269864.4082,1509829.26
ze0,NA,NA
ze1,NA,NA
ze2,269915.7517,1509870.206
ze3,NA,NA
ze4,269898.5108,1509880.75
