island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,a3-b4,neiso,8.45,2.89,526,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,neiso,9.63,3.19,527,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,eug,9.92,3.8,528,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,neiso,6.82,4.13,529,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,mor,5.54,5.44,530,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,guamia,4.76,6.25,531,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,aglaia,3.72,7.97,532,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,mor,5.88,5.66,533,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,mor,6.68,5.41,534,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,neiso,6.4,7.71,535,269884.572567,1509840.44841,269874.6276,1509847.526
guam,ritd,a3-b4,guamia,6.85,3.65,536,269874.6276,1509847.526,269870.2865,1509839.788
guam,ritd,a3-b4,aglaia,5.4,3.55,537,269874.6276,1509847.526,269870.2865,1509839.788
guam,ritd,a3-b4,aglaia,5.65,6.87,538,269874.6276,1509847.526,269870.2865,1509839.788
guam,ritd,a3-b4,aglaia,2.1,8,539,269874.6276,1509847.526,269870.2865,1509839.788
guam,ritd,a3-b4,aglaia,0.72,5.4,540,269874.6276,1509847.526,269870.2865,1509839.788
guam,ritd,a3-b4,aglaia,5.45,4.96,541,269870.2865,1509839.788,269877.229,1509833.056
guam,ritd,a3-b4,aglaia,5.33,5.97,542,269877.229,1509833.056,269884.572567,1509840.44841
guam,ritd,a3-b4,aglaia,7.19,5.37,543,269877.229,1509833.056,269884.572567,1509840.44841
guam,ritd,a3-b4,mor,7.18,3.31,544,269877.229,1509833.056,269884.572567,1509840.44841
