island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,a3-za4,neiso,7.28,9.91,1639,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,7.05,7.98,1640,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,8.61,9.14,1641,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,eug,9.44,10.32,1642,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,10.09,11.85,1643,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,aglaia,5.23,9.87,1644,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,4.22,8.76,1645,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,6.89,6.02,1646,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,7.68,5.14,1647,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,8.08,4.03,1648,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,8.53,4.88,1649,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,tri,8.37,6.25,1650,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,9.68,2.82,1651,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,10.06,5.77,1652,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,8.57,7.05,1653,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,12.01,8.76,1654,269877.229,1509833.056,269870.2865,1509839.788
guam,ritd,a3-za4,neiso,4.14,5.02,1674,269864.4082,1509829.26,269872.5174,1509825.937
