island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,a4-z*a4,aglaia,14.19,9.86,1611,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,14.29,8.92,1612,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,14.52,9.64,1613,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,12.71,7.02,1614,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,11.74,6.47,1615,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,11.31,8.26,1616,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,10.37,9.72,1617,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,6.15,4.4,1618,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,10.91,2.11,1619,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,eug,4.92,5.68,1621,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,4.52,7.59,1622,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,4.18,6.98,1623,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,3.73,9.07,1624,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,3.2,9.21,1625,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,4.56,10.54,1626,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,5.19,10.93,1627,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,1.36,9.9,1628,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,6.9,10.79,1629,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,7.66,11.18,1630,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,7.81,11.49,1631,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,8.51,12.59,1632,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,guamia,9.04,13.35,1633,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,10.27,13.52,1634,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,eug,9.98,11.7,1635,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,aglaia,10.29,11.08,1636,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,tri,8.34,9.7,1637,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,7.91,10.67,1638,269864.4082,1509829.26,269856.7589,1509834.157
guam,ritd,a4-z*a4,neiso,7.32,2.86,1655,269864.4082,1509829.26,269856.7589,1509834.157
