island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,a4-z4b,neiso,3.93,6.84,1589,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,5.28,5.83,1590,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,tri,6.05,6.42,1591,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,6.32,6.99,1592,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,aglaia,5.7,7.47,1593,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,5.71,8.67,1594,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,4.77,8.7,1595,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,aglaia,7.03,7.46,1596,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,9.9,13.54,1597,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,aglaia,10.37,13.53,1598,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,9.87,10.42,1599,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,10.86,11.19,1600,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,10.06,7.76,1601,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,aglaia,12.06,10.25,1602,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,aglaia,12.41,7.58,1603,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,11.07,6.08,1604,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,aglaia,14.78,10.77,1605,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,7.92,4.09,1606,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,8.49,4.47,1607,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,8.45,5.41,1608,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,7.6,2.91,1609,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,8.54,2.03,1610,269860.8044,1509843.573,269866.6347,1509854.667
guam,ritd,a4-z4b,neiso,6.81,3.04,1620,269860.8044,1509843.573,269870.2865,1509839.788
