island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,b0-c1,neiso,1.36,11.98,488,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,neiso,4.82,7.51,489,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,neiso,5.26,7.4,490,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,neiso,8.13,4.97,491,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,neiso,7.34,4.72,492,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,neiso,8.17,3.97,493,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,guamia,7.92,5.65,494,269907.9477055,1509839.3935675,269903.423422,1509829.87327
guam,ritd,b0-c1,aglaia,4.51,9.67,495,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,3.36,9.27,496,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,3.16,9.23,497,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,eug,3.65,8.77,498,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,3.76,8.36,499,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,5.75,6.49,500,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,6.44,5.67,501,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,aglaia,8.8,4.21,502,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,7.68,6.53,503,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,aglaia,9.7,5.26,504,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,aglaia,9.56,4.38,505,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,11.5,4.57,506,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,12.11,3.63,507,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,ifit,12.15,1.05,508,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,neiso,10.89,1.36,509,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,aglaia,9.76,2.39,510,269910.4415,1509825.877,269916.8231,1509836.189
guam,ritd,b0-c1,eug,7.6,5.68,511,269910.4415,1509825.877,269916.8231,1509836.189
