island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,c0-d1,guamia,9.01,1.33,387,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,guamia,8.66,2.35,388,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,eug,10.02,3.62,389,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,aglaia,8.99,4.87,390,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,aglaia,9.06,6.06,391,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,aglaia,10.81,6.31,392,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,neiso,11.13,8.4,393,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,aglaia,7.44,7.05,394,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,aglaia,7.37,5.9,395,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,eug,1.63,9.59,396,269907.9477055,1509839.3935675,269916.8231,1509836.189
guam,ritd,c0-d1,aglaia,5.24,11.06,397,269907.9477055,1509839.3935675,269916.8231,1509836.189
