island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,c0-z0d,neiso,1.82,8.08,1706,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,2.01,8.51,1707,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,2.7,7.82,1708,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,3.43,7.41,1709,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,3.46,6.65,1710,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,eug,3.87,6.26,1711,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,4.09,6.35,1712,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,aglaia,8.2,2.25,1713,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,aglaia,7.24,5.03,1714,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,9.16,9.08,1715,269916.8231,1509836.189,269924.5796,1509831.927
guam,ritd,c0-z0d,neiso,7.06,2.99,1716,269930.7137,1509839.829,269922.5001,1509844.307
