island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,d1-e2,neiso,6.58,3.7,356,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,6.15,4.27,357,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,10.57,5.18,358,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,10.72,6.2,359,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,9.45,6.19,360,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,10.81,10.67,361,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,aglaia,9.28,13.7,362,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,aglaia,7.42,12.11,363,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,3.38,6.38,364,269912.5199,1509847.507,269916.4233,1509857.826
guam,ritd,d1-e2,neiso,7.11,10.53,365,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,4.02,5.73,366,269912.5199,1509847.507,269916.4233,1509857.826
guam,ritd,d1-e2,neiso,3.78,5.74,367,269912.5199,1509847.507,269916.4233,1509857.826
guam,ritd,d1-e2,neiso,5.15,4.34,368,269912.5199,1509847.507,269916.4233,1509857.826
guam,ritd,d1-e2,neiso,4.08,8.09,369,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,2.89,7.42,370,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,4.74,5.54,371,269904.1031,1509852.292,269912.5199,1509847.507
guam,ritd,d1-e2,neiso,0.97,9.51,372,269904.1031,1509852.292,269912.5199,1509847.507
