island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,d4-z4e,mor,9.91,8.31,1526,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,7.25,8.35,1527,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,6.34,6.95,1528,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,5.49,5.21,1529,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,4.55,5.94,1530,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,5.4,4.68,1531,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,4.64,5.16,1532,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,mor,7.36,3.47,1533,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,10.36,3.95,1534,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,4.08,6.59,1535,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,7.78,5.34,1536,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,neiso,3.61,9.52,1537,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,3.22,10.94,1538,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,1.2,9.12,1539,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,1.03,8.97,1540,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,2.32,7.57,1541,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,2.92,6.93,1542,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,5.3,10.3,1543,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,2.47,7.94,1544,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,5.92,11.46,1545,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,3.6,6.26,1546,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,6.65,9.62,1547,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,aglaia,6.84,8.9,1548,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,mor,6.51,8.31,1549,269879.050254,1509870.76471,269886.7181,1509864.69
guam,ritd,d4-z4e,mor,2.51,9.94,1550,269879.050254,1509870.76471,269886.7181,1509864.69
