island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,ritd,e0-ze1,neiso,5.76,4.78,1771,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,7.68,3.53,1772,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,6.16,8.58,1773,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,7.35,7.96,1774,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,6.66,9.03,1775,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,6.06,9.31,1776,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,5.31,10.4,1777,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,6.51,10.42,1778,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,8.98,11.44,1779,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,10.04,10.6,1780,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,12.05,10.37,1781,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,8.89,8.39,1782,269916.4233,1509857.826,269925.6417,1509851.491
guam,ritd,e0-ze1,neiso,10.47,6.56,1783,269916.4233,1509857.826,269925.6417,1509851.491
