dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
269912.99273381,1509821.47723599,Okay,1757
269913.049348968,1509820.85108353,Okay,1758
269917.255471815,1509821.59395321,Okay,1759
269916.005419591,1509825.08869523,Outside_cell,1760
269915.15962132,1509824.15842975,Okay,1761
269913.616136562,1509826.00236163,Outside_cell,1762
269918.616357891,1509822.86850209,Okay,1763
269919.085988367,1509821.47336356,Okay,1764
NA,NA,Distances_too_small,1765
NA,NA,Distances_too_small,1766
NA,NA,Distances_too_small,1767
NA,NA,Distances_too_small,1768
NA,NA,Distances_too_small,1769
NA,NA,Distances_too_small,1770
