dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Distances_too_small,526
269881.390281162,1509840.67012343,Okay,527
269880.830945567,1509839.78488227,Okay,528
NA,NA,Distances_too_small,529
NA,NA,Distances_too_small,530
NA,NA,Distances_too_small,531
NA,NA,Distances_too_small,532
NA,NA,Distances_too_small,533
NA,NA,Distances_too_small,534
269876.943052146,1509841.55953695,Okay,535
269875.667193138,1509844.02717933,Okay,536
269873.414709728,1509844.18962514,Okay,537
269875.851237806,1509840.76585129,Okay,538
269872.385683368,1509839.84655928,Okay,539
NA,NA,Distances_too_small,540
269874.907998898,1509837.98707026,Okay,541
269879.597434517,1509838.53609288,Okay,542
269877.67840968,1509838.40716164,Okay,543
269879.129354011,1509835.76612078,Okay,544
