dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
269867.31935693,1509833.14010845,Okay,1639
269869.252663759,1509832.81421461,Okay,1640
269868.235547757,1509831.42584149,Okay,1641
269867.13927647,1509830.88807955,Okay,1642
269865.584112159,1509830.86075806,Okay,1643
269867.615494038,1509835.29148722,Outside_cell,1644
269868.909522992,1509835.79897326,Okay,1645
269871.209763281,1509832.96013907,Okay,1646
269872.139823073,1509832.3349742,Okay,1647
269873.274280254,1509832.28069894,Okay,1648
269872.580070523,1509831.57213521,Okay,1649
269871.184547386,1509831.46631682,Okay,1650
269874.99755891,1509831.33174055,Okay,1651
269872.368943657,1509829.94589512,Okay,1652
269870.422516117,1509831.21907944,Okay,1653
269870.237478558,1509827.77810005,Okay,1654
269869.391127833,1509828.6510417,Okay,1674
