dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
269870.688924699,1509836.86079583,Outside_cell,1611
269871.006042639,1509835.26290534,Outside_cell,1612
269871.14006587,1509836.16011463,Outside_cell,1613
269869.468860205,1509834.12519458,Outside_cell,1614
269868.498325319,1509834.27316017,Outside_cell,1615
269867.752710003,1509836.8126057,Okay,1616
269866.007456968,1509838.84753238,Okay,1617
269862.859415651,1509833.37840589,Okay,1618
269866.518106053,1509829.27991099,Outside_cell,1619
269861.678184495,1509834.24090507,Okay,1621
269860.892116447,1509835.98645943,Okay,1622
269860.79783691,1509835.2337491,Okay,1623
269859.381309403,1509836.80952124,Okay,1624
269858.834849462,1509836.59224821,Okay,1625
269858.844663894,1509838.21202022,Okay,1626
269859.075949638,1509838.80106944,Okay,1627
269856.736019099,1509835.51680751,Outside_cell,1628
269861.091107522,1509839.52747279,Okay,1629
269861.610875908,1509840.08438811,Okay,1630
269861.487728547,1509840.37264804,Okay,1631
269861.179262843,1509841.42889744,Okay,1632
269860.965714872,1509842.15851915,Okay,1633
269862.533939497,1509842.64945658,Okay,1634
269864.065597567,1509840.95498284,Okay,1635
269864.995841465,1509840.32440588,Okay,1636
269863.600621281,1509838.92632384,Okay,1637
269862.368959916,1509839.73331848,Okay,1638
269863.768353639,1509832.04750724,Okay,1655
