dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
269920.428413493,1509826.12531208,Okay,1690
269919.146599664,1509822.77880055,Outside_cell,1691
269918.380002668,1509822.64821147,Outside_cell,1692
269917.854426799,1509821.92623852,Outside_cell,1693
269917.417129478,1509824.09357818,Outside_cell,1694
269917.817028666,1509825.41474802,Okay,1695
269919.341427303,1509825.84102785,Okay,1696
269920.161452492,1509825.90739008,Okay,1697
269920.111497687,1509825.8703111,Okay,1698
269920.273477696,1509828.00674519,Okay,1699
269920.174000989,1509830.22602569,Okay,1700
269916.58264979,1509835.00313167,Okay,1701
269915.834285735,1509828.95627946,Okay,1702
269915.193881889,1509827.29702337,Okay,1703
269915.006022688,1509823.67018496,Outside_cell,1704
269915.428848449,1509824.96526788,Okay,1705
