dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
269924.524984979,1509833.74618036,Okay,1706
269925.016386965,1509833.88896767,Okay,1707
269924.485175018,1509834.62534837,Okay,1708
269924.183615418,1509835.33406563,Okay,1709
269923.395829977,1509835.17819801,Okay,1710
269923.042674869,1509835.4787265,Okay,1711
269923.158745095,1509835.76226679,Okay,1712
269918.613188038,1509837.55211585,Okay,1713
269921.340193987,1509838.40186283,Okay,1714
269924.469178442,1509841.08633442,Okay,1715
269927.734946175,1509839.56991382,Okay,1716
