dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
269907.797532544,1509852.08910057,Okay,356
269908.365771952,1509852.04194434,Okay,357
269907.050348053,1509856.55182733,Outside_cell,358
269907.910348227,1509857.18534864,Okay,359
269908.880485152,1509856.2280756,Okay,360
269912.91416637,1509858.30980769,Okay,361
269917.45357987,1509855.36684751,Outside_cell,362
269916.090409714,1509854.01144928,Outside_cell,363
NA,NA,Distances_too_small,364
269914.428846377,1509854.35594326,Okay,365
NA,NA,Distances_too_small,366
NA,NA,Distances_too_small,367
NA,NA,Distances_too_small,368
269912.160923178,1509851.57117712,Okay,369
269911.182198786,1509850.06876803,Okay,370
269909.531659579,1509851.18640473,Okay,371
269912.796589788,1509848.43670036,Okay,372
