X,date,notebook,notebookpage,mappingteam,dataentryby,island,site,mapfilename,quaddiag,quadcorner,tagnum,species,dbh,phenology,lefttarget,leftdist,righttarget,rightdist,notes,entby,dateent,proofby,dateproof,quadcorn,tag,RKPx,RKPy,RKPsource,LKPx,LKPy,LKPsource
808,40078,ELS,1,LO; ELS,NA,guam,sblas,NA,a0-b1,A0,811,guamia,45,nff,b0,10.71,a0,2.02,NA,NA,NA,NA,NA,a0,811,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
809,40078,ELS,2,LO; ELS,ELS,guam,sblas,NA,a0-b1,A0,812,mor,168,fr,a0,5.22,a1,7.18,NA,NA,NA,NA,NA,a0,812,275621.2149,1497284.561,GPS,275621.4696,1497274.511,GPS
810,40078,ELS,3,LO; ELS,ELS,guam,sblas,NA,a0-b1,A0,813,guamia,113,nff,b0,6.49,a0,4.06,NA,NA,NA,NA,NA,a0,813,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
811,40078,ELS,4,LO; ELS,ELS,guam,sblas,NA,a0-b1,A0,814,guamia,55,nff,b0,7.59,a0,3.07,NA,NA,NA,NA,NA,a0,814,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
812,40078,ELS,5,LO; ELS,ELS,guam,sblas,NA,a0-b1,B0,815,guamia,46,nff,b0,3.71,a0,7.51,NA,NA,NA,NA,NA,b0,815,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
813,40078,ELS,6,LO; ELS,ELS,guam,sblas,NA,a0-b1,B0,816,guamia,85,fr,b0,2.89,a0,7.62,NA,NA,NA,NA,NA,b0,816,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
814,40078,ELS,7,LO; ELS,ELS,guam,sblas,NA,a0-b1,B0,817,guamia,62,fr,b0,2.05,a0,8.79,NA,NA,NA,NA,NA,b0,817,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
815,40078,ELS,8,LO; ELS,ELS,guam,sblas,NA,a0-b1,B0,818,guamia,71,nff,b1,11.11,b0,1.6,NA,NA,NA,NA,NA,b0,818,275631.6238,1497272.774,GPS,275631.3223,1497286.062,GPS
816,40078,ELS,9,LO; ELS,ELS,guam,sblas,NA,a0-b1,B0,819,premna,241,dry inflor.,b0,4.91,a0,5.69,NA,NA,NA,NA,NA,b0,819,275621.4696,1497274.511,GPS,275631.6238,1497272.774,GPS
817,40078,ELS,10,LO; ELS,ELS,guam,sblas,NA,a0-b1,B1,820,guamia,78,fr,a1,8.6,b1,2.6,NA,NA,NA,NA,NA,b1,820,275631.3223,1497286.062,GPS,275621.2149,1497284.561,GPS
