dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Map_info_missing,1
NA,NA,Map_info_missing,2
NA,NA,Map_info_missing,3
NA,NA,Map_info_missing,4
NA,NA,Map_info_missing,5
275567.870634324,1497701.49829976,Okay,6
275568.228712056,1497702.01700025,Okay,7
275569.09512559,1497704.5759167,Outside_cell,8
275569.778563545,1497700.8830936,Okay,9
275569.314012222,1497698.74680739,Okay,10
275567.743263381,1497700.0412697,Okay,11
275566.652133984,1497698.1974197,Okay,12
275566.227530913,1497698.31585748,Okay,13
275568.653979253,1497699.12273509,Okay,14
NA,NA,Map_info_missing,15
NA,NA,Map_info_missing,16
NA,NA,Map_info_missing,17
NA,NA,Map_info_missing,18
NA,NA,Map_info_missing,19
NA,NA,Map_info_missing,20
NA,NA,Map_info_missing,21
