UnknownX,UnknownY,Tag
275573.397876672,1497674.78927839,1067
275573.754038665,1497674.98010841,1068
275573.424066255,1497675.96111468,1069
275570.848982524,1497674.98367227,1070
275570.224547552,1497677.07619149,1071
275570.274003541,1497674.43614537,1072
275569.260218957,1497673.72477517,1073
275568.914098339,1497673.60614859,1074
275568.345778208,1497674.0904799,1075
275566.766650601,1497672.44014983,1076
275566.421083733,1497672.14589973,1077
275565.45199722,1497671.32202799,1078
275565.767337293,1497670.63963485,1079
NA,NA,1080
275564.773181075,1497675.08603408,1081
275564.408423009,1497675.73911125,1082
275564.517380489,1497676.58484515,1083
275564.934241583,1497676.33251928,1084
275564.613967998,1497677.21964541,1085
275568.721066256,1497678.25281359,1086
NA,NA,1087
NA,NA,1088
275562.833565122,1497676.61331273,1089
275566.995043046,1497677.4913196,1090
275567.171227281,1497678.22165527,1091
275564.351065642,1497679.0987946,1092
275569.47672332,1497679.1933394,1093
275570.096173168,1497680.81561701,1094
275569.389212143,1497679.62329564,1095
275570.303041429,1497678.02891033,1096
275566.083953566,1497675.36349878,1219
