UnknownX,UnknownY,Tag
275574.370176499,1497698.73940245,22
NA,NA,23
NA,NA,24
275581.061685361,1497701.2469049,25
275572.579672051,1497700.94529495,26
275573.143541595,1497699.57003934,27
275573.589557279,1497700.9795186,28
275572.70092851,1497702.89188736,29
275572.306679304,1497704.99626031,30
275574.240809333,1497704.73848303,31
275574.200228413,1497704.74376109,32
275573.036341843,1497705.64443536,33
275575.093019207,1497704.86460287,34
275574.926726961,1497700.36714931,35
275575.039277926,1497701.07959813,36
275575.422617663,1497700.43807905,37
275575.981200664,1497701.11620878,38
275577.636561965,1497700.83774627,39
275577.32953103,1497701.72573422,40
275578.832254289,1497701.57554012,41
275580.078506096,1497704.4201406,42
NA,NA,43
NA,NA,44
275576.035035162,1497707.96772681,45
NA,NA,46
NA,NA,47
