dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Distances_too_small,196
NA,NA,Distances_too_small,197
275588.437570937,1497687.25482352,Okay,198
275587.515300522,1497686.36984135,Okay,199
275586.256217117,1497686.80824488,Okay,200
275584.179719369,1497688.46458699,Okay,201
275584.871976757,1497687.18244004,Okay,202
NA,NA,Distances_too_small,203
NA,NA,Distances_too_small,204
NA,NA,Distances_too_small,205
NA,NA,Distances_too_small,206
NA,NA,Distances_too_small,207
275583.330295997,1497683.49601212,Okay,208
275583.942713271,1497682.23253928,Okay,209
275585.138854028,1497683.123316,Okay,210
275585.002849724,1497680.77566348,Okay,211
275585.311233853,1497679.76618665,Outside_cell,212
275583.908157467,1497680.17138566,Okay,213
275583.763173679,1497680.59423396,Okay,214
NA,NA,Corner_missing,215
275586.091264702,1497678.50461757,Outside_cell,216
NA,NA,Distances_too_small,217
275587.859035796,1497685.17933261,Okay,218
275586.747822794,1497685.68612157,Okay,219
275586.324954307,1497686.19862409,Okay,220
