dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275578.175661534,1497716.33419996,Okay,3651
275583.283159465,1497719.47947458,Okay,3652
275583.017057524,1497719.98824722,Okay,3653
275582.555032455,1497718.75418949,Okay,3654
275581.528148248,1497721.35357134,Okay,3655
275582.051642796,1497721.04548083,Okay,3656
275581.446244553,1497720.5922133,Okay,3657
275580.490938569,1497718.78481454,Okay,3658
275579.693531166,1497717.92256709,Okay,3659
275580.712031652,1497717.98460295,Okay,3660
275579.98289895,1497718.37534316,Okay,3701
275585.596728943,1497718.96002701,Okay,3702
275585.774637615,1497716.72420975,Okay,3703
275585.840950886,1497715.28791049,Okay,3704
275584.841337993,1497714.99617972,Okay,3705
275581.905753926,1497714.81874057,Okay,3706
275578.246993123,1497715.64594659,Okay,3707
275578.589786102,1497713.61426446,Okay,3708
275579.682913199,1497711.5189315,Okay,3709
275580.372977776,1497711.8762507,Okay,3710
