UnknownX,UnknownY,Tag
275600.478495764,1497684.58572179,267
275600.795732096,1497682.11963107,268
275599.579576177,1497682.22768388,269
275598.318496115,1497681.77321846,270
275598.736246506,1497682.03660289,271
275596.880605782,1497684.55149404,272
275596.681858995,1497684.29245027,273
275596.64679461,1497684.09328682,274
275595.957568218,1497683.72310967,275
275595.800427005,1497681.53172606,276
275593.807709295,1497681.73083435,277
275593.968340715,1497681.13997848,278
275593.374245446,1497682.85509618,279
275594.817858023,1497678.87016806,280
275595.465107942,1497678.32673333,281
275595.845670234,1497678.51978956,282
NA,NA,283
275596.067532306,1497676.00812148,284
NA,NA,285
275598.117168095,1497678.35489549,286
275599.991913784,1497678.75864756,287
275601.005829781,1497681.59992534,288
