UnknownX,UnknownY,Tag
275593.606541048,1497710.7254817,80
275589.088746081,1497713.94687277,81
275591.957082163,1497711.29825643,82
275592.880435384,1497711.79172094,83
275592.323478047,1497713.60303513,84
275593.170441869,1497709.06172358,85
275592.918696888,1497709.23180771,86
275594.309453573,1497710.55769136,87
275594.09130021,1497707.12282753,88
275594.600766051,1497706.20858146,89
275595.065561731,1497711.78251404,90
275594.10666883,1497712.75995514,91
275594.188562507,1497712.26984904,92
275592.784263913,1497713.72705649,93
275595.376992215,1497714.16460791,94
275596.249924533,1497715.53580095,95
275596.089246403,1497712.6921103,96
275596.133886938,1497711.84411003,97
275595.530354221,1497710.02630597,98
275595.218348471,1497709.20772446,99
275595.437620364,1497708.92922797,100
275596.665485791,1497708.60179365,101
275596.886500668,1497709.04739959,102
275597.331551527,1497708.83401253,103
275598.690829715,1497709.52403691,104
275599.917650463,1497709.11833415,105
275598.458214272,1497709.15937402,106
275598.080934058,1497710.35529688,107
275597.034677168,1497710.63101122,108
275596.497428397,1497711.15076621,109
