dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275586.10793695,1497721.11172045,Okay,3711
275587.402641589,1497720.5006407,Okay,3712
275585.371230148,1497722.30256792,Okay,3713
275584.54143179,1497722.54340126,Okay,3714
275587.176646859,1497721.00314186,Okay,3715
275587.279700379,1497722.28880825,Okay,3716
275588.035546723,1497720.6114528,Okay,3717
275586.923136749,1497723.82212257,Outside_cell,3718
275589.581120365,1497724.29828577,Okay,3719
275590.56297047,1497725.05808979,Okay,3720
275588.58887442,1497723.78310651,Okay,3721
275589.932218502,1497721.62765656,Okay,3722
275589.27841602,1497721.3602141,Okay,3723
275589.53212332,1497720.98713658,Okay,3724
275589.161434641,1497720.91752049,Okay,3725
275589.195016382,1497722.5687053,Okay,3726
275592.792186966,1497721.13643998,Okay,3727
275594.086252551,1497721.46536245,Okay,3728
275595.521234347,1497719.31137052,Okay,3729
275596.195154538,1497718.38426338,Okay,3730
275595.534010629,1497718.37016271,Okay,3731
275594.113965627,1497717.90889791,Okay,3732
275592.978064838,1497718.21800272,Okay,3733
275589.950120365,1497717.71807502,Okay,3734
275590.505028223,1497719.36607328,Okay,3735
275588.291967231,1497719.09510287,Okay,3736
275590.602597153,1497724.4636098,Okay,3737
275587.348510355,1497716.10481406,Outside_cell,3738
275587.533264494,1497715.61972161,Outside_cell,3739
