dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Corner_missing,3820
275607.482557642,1497718.47620661,Okay,3821
275607.372625574,1497716.79964803,Okay,3822
275606.254546444,1497717.72786396,Okay,3823
275604.807276952,1497712.40377437,Okay,3824
275607.526850295,1497710.77478121,Okay,3825
275607.015583853,1497710.98506079,Okay,3826
275608.126121349,1497711.72191212,Okay,3827
275603.22534347,1497712.43658521,Okay,3828
275602.602773929,1497711.5761442,Okay,3829
275602.298171328,1497712.06959058,Okay,3830
NA,NA,Corner_missing,3831
275600.413731589,1497712.60352234,Okay,3832
275602.018291346,1497714.58953482,Okay,3851
275597.518134964,1497714.77119598,Okay,3852
275598.880288961,1497715.18699091,Okay,3853
275596.4812879,1497716.36284641,Okay,3854
