island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,c1-d2,guamia,3.89,6.47,130,275588.7859,1497691.34,275597.4708,1497696.465
guam,nblas,c1-d2,aglaia,5.37,3.81,131,275597.4708,1497696.465,275593.0446,1497705.154
guam,nblas,c1-d2,aglaia,3.96,6.87,132,275588.7859,1497691.34,275597.4708,1497696.465
guam,nblas,c1-d2,eug,5.17,4.17,133,275597.4708,1497696.465,275593.0446,1497705.154
guam,nblas,c1-d2,guamia,8.62,4.9,134,275597.4708,1497696.465,275593.0446,1497705.154
guam,nblas,c1-d2,eug,10.52,7.36,135,275597.4708,1497696.465,275593.0446,1497705.154
guam,nblas,c1-d2,aglaia,9.38,1.04,136,275588.7859,1497691.34,275593.0446,1497705.154
guam,nblas,c1-d2,premna,9.27,3.83,137,275588.7859,1497691.34,275597.4708,1497696.465
guam,nblas,c1-d2,eug,3.02,7.23,138,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,guamia,4.8,6.76,139,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,guamia,8.26,7.32,140,275584.2253,1497700.308,275588.7859,1497691.34
guam,nblas,c1-d2,guamia,8.92,4.88,141,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,guamia,9.2,2.74,142,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,aidia,9.88,2.5,143,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,?,9.9,0,144,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,cyno,8.52,1.55,145,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,aglaia,7.37,2.89,146,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,cyno,7.19,3.4,147,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,aglaia,6.83,3.44,148,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,guamia,7.64,2.91,149,275593.0446,1497705.154,275584.2253,1497700.308
guam,nblas,c1-d2,cyno,6.2,4.51,150,275593.0446,1497705.154,275584.2253,1497700.308
