island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,d0-e1,aglaia,6.5,5.6,80,275593.0446,1497705.154,275588.5357,1497714.792
guam,nblas,d0-e1,guamia,1.01,8.72,81,275597.0471,1497717.511,275588.5357,1497714.792
guam,nblas,d0-e1,aglaia,6.24,4.89,82,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,aglaia,6.64,5.28,83,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,cyno,8.48,3.97,84,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,guamia,3.91,7.37,85,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,guamia,4.08,7.08,86,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,guamia,5.55,7.16,87,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,aglaia,2.23,9.47,88,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,aglaia,1.88,10.51,89,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,guamia,6.93,7.19,90,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,aglaia,7.68,5.93,91,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,guamia,6.19,5.97,92,275597.0471,1497717.511,275588.5357,1497714.792
guam,nblas,d0-e1,cyno,4.38,5.7,93,275597.0471,1497717.511,275588.5357,1497714.792
guam,nblas,d0-e1,aglaia,6.87,3.74,94,275597.0471,1497717.511,275588.5357,1497714.792
guam,nblas,d0-e1,aglaia,7.75,2.13,95,275597.0471,1497717.511,275588.5357,1497714.792
guam,nblas,d0-e1,aglaia,8.13,7.84,96,275588.5357,1497714.792,275593.0446,1497705.154
guam,nblas,d0-e1,aglaia,8.15,5.74,97,275597.0471,1497717.511,275588.5357,1497714.792
guam,nblas,d0-e1,guamia,6.49,5.47,98,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,guamia,6.73,4.6,99,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,eug,6.51,4.47,100,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,guamia,5.3,5,101,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,aglaia,5.06,5.47,102,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,aglaia,4.62,5.65,103,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,aglaia,3.29,7.14,104,275593.0446,1497705.154,275601.9465,1497709.05
guam,nblas,d0-e1,aglaia,8.87,2.03,105,275601.9465,1497709.05,275597.0471,1497717.511
guam,nblas,d0-e1,aglaia,8.47,3.49,106,275601.9465,1497709.05,275597.0471,1497717.511
guam,nblas,d0-e1,aglaia,7.23,4.08,107,275601.9465,1497709.05,275597.0471,1497717.511
guam,nblas,d0-e1,aglaia,6.88,5.16,108,275601.9465,1497709.05,275597.0471,1497717.511
guam,nblas,d0-e1,eug,5.84,6.92,109,275593.0446,1497705.154,275601.9465,1497709.05
