UnknownX,UnknownY,Tag
275593.686503845,1497695.56433213,130
NA,NA,131
275593.51328068,1497696.32485425,132
NA,NA,133
275592.57148606,1497696.54699337,134
275590.255986334,1497695.01033036,135
NA,NA,136
275588.296190141,1497695.13856345,137
275587.18207419,1497700.92272465,138
275588.991986154,1497699.74346204,139
275591.45426169,1497699.15712517,140
275593.145239097,1497700.27503784,141
275593.180220823,1497702.41735845,142
275593.793905216,1497702.76893361,143
NA,NA,144
275591.756609544,1497704.29168881,145
275591.067958571,1497703.04568582,146
275591.118607565,1497702.35211614,147
275590.616143446,1497702.71756844,148
275591.481337005,1497702.69955326,149
275590.293330873,1497701.58039983,150
