UnknownX,UnknownY,Tag
275593.606728392,1497710.72571533,80
275589.088746081,1497713.94687277,81
275591.95738821,1497711.29855617,82
275592.880610575,1497711.79197465,83
275592.323557983,1497713.60328982,84
275593.170740057,1497709.06196478,85
275592.919025904,1497709.23206708,86
275594.309613711,1497710.55790972,87
275594.091509825,1497707.12297939,88
275594.600897525,1497706.20867436,89
275595.065665832,1497711.78273992,90
275594.106756806,1497712.76019635,91
275594.188562507,1497712.26984904,92
275592.784263913,1497713.72705649,93
275595.376992215,1497714.16460791,94
275596.249924533,1497715.53580095,95
275596.089311407,1497712.69234414,96
275596.133886938,1497711.84411003,97
275595.530391327,1497710.02654979,98
275595.218354574,1497709.20798459,99
275595.437615378,1497708.92949697,100
275596.665460061,1497708.60209693,101
275596.886500534,1497709.04767439,102
275597.33153772,1497708.83430773,103
275598.690864318,1497709.52427451,104
275599.917650463,1497709.11833415,105
275598.458214272,1497709.15937402,106
275598.080934058,1497710.35529688,107
275597.034677168,1497710.63101122,108
275596.497511816,1497711.15098257,109
