UnknownX,UnknownY,Tag
275607.496572108,1497698.25347491,3855
275609.309559393,1497696.96530354,3856
275608.816801397,1497696.63911394,3857
275609.674571767,1497699.50326167,3858
275610.174995747,1497696.51570802,3859
275610.01349312,1497694.95798302,3860
275608.070826127,1497695.02660115,3861
275611.951991059,1497698.30991634,3862
275611.942028762,1497697.82554623,3863
275612.1987804,1497697.23809824,3864
275612.990804603,1497696.13084284,3865
275614.806806695,1497696.7501465,3866
275613.767305398,1497698.51841296,3867
275614.585393865,1497695.84035493,3868
275615.095995832,1497694.8806907,3869
275615.91408104,1497694.80009178,3870
275616.507529603,1497694.27355661,3871
275615.273326785,1497696.16944406,3872
275615.83506412,1497693.79193194,3873
275614.412244176,1497693.43325106,3874
275613.644895861,1497692.79313872,3875
275613.335167236,1497694.77240426,3876
275611.801945833,1497693.65139707,3877
275612.437126295,1497693.18138836,3878
275608.85449143,1497693.37070985,3879
275611.742415715,1497691.90511932,3880
275613.175459934,1497691.98169661,3881
